iter	Passed	Remaining
415	3067	4306
416	3074	4299
417	3083	4293
418	3092	4288
419	3100	4282
420	3111	4278
421	3119	4272
422	3128	4267
423	3140	4266
424	3153	4265
425	3163	4261
426	3173	4259
427	3186	4258
428	3197	4256
429	3209	4254
430	3218	4248
431	3225	4240
432	3233	4233
433	3240	4225
434	3247	4217
435	3258	4215
436	3268	4211
437	3280	4209
438	3291	4205
439	3299	4199
440	3307	4192
441	3315	4185
442	3322	4177
443	3329	4169
444	3336	4160
445	3344	4154
446	3350	4145
447	3360	4140
448	3367	4132
449	3375	4125
450	3382	4118
451	3390	4110
452	3397	4102
453	3404	4093
454	3410	4085
455	3417	4077
456	3423	4067
457	3429	4058
458	3435	4049
459	3442	4040
460	3447	4030
461	3453	4021
462	3461	4014
463	3468	4006
464	3475	3998
465	3481	3989
466	3487	3980
467	3494	3972
468	3501	3963
469	3507	3955
470	3512	3945
471	3518	3935
472	3525	3927
473	3532	3919
474	3538	3911
475	3545	3902
476	3551	3893
477	3557	3885
478	3564	3876
479	3570	3867
480	3576	3858
481	3583	3851
482	3590	3843
483	3597	3835
484	3605	3828
485	3612	3821
486	3619	3812
487	3624	3803
488	3631	3794
489	3637	3785
490	3643	3776
491	3648	3767
492	3655	3759
493	3663	3752
494	3670	3744
495	3677	3736
496	3682	3727
497	3688	3718
498	3694	3709
499	3701	3701
500	3706	3691
501	3712	3683
502	3721	3677
503	3728	3669
504	3735	3661
505	3741	3653
506	3747	3643
507	3753	3635
508	3759	3626
509	3766	3618
510	3771	3609
511	3777	3600
512	3784	3592
513	3792	3585
514	3799	3578
515	3806	3570
516	3814	3563
517	3819	3554
518	3826	3545
519	3832	3538
520	3839	3529
521	3846	3521
522	3851	3512
523	3858	3504
524	3866	3498
525	3873	3490
526	3879	3482
527	3885	3473
528	3890	3464
529	3897	3456
530	3904	3448
531	3911	3440
532	3919	3434
533	3926	3426
534	3933	3418
535	3940	3411
536	3947	3403
537	3955	3396
538	3963	3389
539	3970	3382
540	3979	3375
541	3987	3369
542	3997	3364
543	4006	3358
544	4015	3352
545	4022	3344
546	4028	3336
547	4036	3329
548	4044	3322
549	4052	3315
550	4060	3308
551	4069	3302
552	4078	3296
553	4085	3288
554	4096	3284
555	4104	3277
556	4112	3270
557	4123	3266
558	4136	3263
559	4146	3257
560	4156	3252
561	4165	3246
562	4173	3239
563	4180	3231
564	4188	3225
565	4195	3217
566	4205	3211
567	4214	3205
568	4221	3197
569	4228	3189
570	4234	3181
571	4240	3173
572	4248	3165
573	4255	3158
574	4263	3151
