iter	Passed	Remaining
401	16240	24158
402	16279	24116
403	16319	24075
404	16357	24031
405	16399	23993
406	16437	23949
407	16474	23903
408	16511	23858
409	16555	23823
410	16594	23781
411	16637	23744
412	16688	23718
413	16737	23691
414	16784	23660
415	16824	23619
416	16869	23585
417	16910	23545
418	16948	23500
419	16987	23458
420	17024	23414
421	17062	23370
422	17106	23334
423	17147	23295
424	17188	23255
425	17229	23215
426	17269	23174
427	17311	23135
428	17353	23097
429	17393	23056
430	17432	23014
431	17474	22975
432	17520	22942
433	17566	22909
434	17607	22869
435	17647	22828
436	17686	22785
437	17726	22745
438	17771	22710
439	17817	22676
440	17860	22639
441	17903	22601
442	17942	22560
443	17982	22518
444	18023	22479
445	18064	22438
446	18106	22400
447	18159	22375
448	18206	22342
449	18249	22304
450	18287	22261
451	18328	22221
452	18366	22178
453	18407	22137
454	18449	22099
455	18491	22059
456	18531	22018
457	18573	21980
458	18610	21935
459	18652	21896
460	18699	21863
461	18741	21824
462	18788	21790
463	18832	21754
464	18873	21715
465	18912	21672
466	18953	21632
467	18991	21588
468	19028	21543
469	19067	21501
470	19104	21457
471	19144	21416
472	19183	21373
473	19221	21330
474	19268	21296
475	19309	21256
476	19354	21221
477	19395	21181
478	19433	21137
479	19474	21097
480	19511	21052
481	19552	21012
482	19593	20972
483	19629	20927
484	19670	20887
485	19709	20844
486	19746	20800
487	19786	20759
488	19824	20716
489	19864	20674
490	19902	20632
491	19940	20588
492	19980	20547
493	20020	20506
494	20072	20478
495	20111	20436
496	20152	20395
497	20191	20353
498	20230	20311
499	20272	20272
500	20311	20230
501	20351	20189
502	20389	20146
503	20430	20106
504	20471	20066
505	20533	20046
506	20573	20005
507	20612	19963
508	20652	19922
509	20692	19880
510	20731	19838
511	20775	19801
512	20813	19758
513	20852	19717
514	20895	19678
515	20932	19633
516	20971	19591
517	21014	19553
518	21051	19510
519	21091	19469
520	21144	19439
521	21185	19399
522	21226	19359
523	21275	19326
524	21317	19287
525	21358	19247
526	21399	19207
527	21446	19171
528	21487	19131
529	21527	19090
530	21566	19048
531	21608	19009
532	21672	18988
533	21713	18948
534	21761	18914
535	21801	18872
536	21851	18839
537	21895	18802
538	21936	18761
539	21980	18724
540	22021	18683
541	22064	18645
542	22111	18609
543	22152	18569
544	22195	18529
545	22235	18488
546	22275	18447
547	22317	18407
548	22363	18371
549	22405	18331
550	22445	18290
551	22485	18249
552	22527	18209
553	22572	18172
554	22611	18130
555	22653	18089
556	22694	18049
557	22742	18014
558	22785	17975
559	22827	17935
560	22866	17893
561	22905	17851
562	22944	17809
563	22985	17768
564	23026	17728
565	23066	17686
566	23106	17645
567	23146	17604
568	23186	17562
569	23229	17523
570	23270	17483
571	23309	17441
572	23347	17398
573	23385	17355
574	23424	17314
575	23466	17273
576	23504	17231
577	23545	17190
578	23583	17148
579	23624	17107
580	23662	17064
581	23705	17025
582	23752	16989
583	23799	16953
584	23842	16913
585	23882	16872
586	23922	16831
587	23964	16791
588	24006	16751
589	24044	16708
590	24081	16665
591	24140	16637
592	24243	16639
593	24286	16599
594	24325	16557
595	24371	16520
596	24411	16478
597	24451	16437
598	24492	16396
599	24535	16356
600	24576	16315
601	24619	16276
602	24661	16236
603	24699	16193
604	24738	16151
605	24779	16110
606	24816	16067
607	24854	16024
608	24893	15982
609	24930	15939
610	24967	15895
611	25004	15852
612	25043	15810
613	25084	15769
614	25122	15726
615	25160	15684
616	25202	15644
617	25244	15604
618	25282	15561
619	25324	15521
620	25364	15479
621	25404	15438
622	25445	15397
623	25486	15357
624	25525	15315
625	25565	15273
626	25605	15232
627	25644	15190
628	25683	15148
629	25718	15104
630	25756	15062
631	25793	15019
632	25834	14978
633	25875	14937
634	25913	14895
635	25951	14852
636	25994	14813
637	26035	14772
638	26073	14730
639	26113	14688
640	26150	14646
641	26192	14605
642	26233	14565
